"filename", "language", "YAML", "XML", "C++", "Markdown", "JSON", "Dart", "Gradle", "Java Properties", "Ruby", "HTML", "Swift", "comment", "blank", "total"
"/Users/puruwo/dev/flutter/kakeibo_v3/linux/my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/puruwo/dev/flutter/kakeibo_v3/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 4, 19
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 10, 44
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/puruwo/dev/flutter/kakeibo_v3/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"/Users/puruwo/dev/flutter/kakeibo_v3/pubspec.yaml", "YAML", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 15, 147
"/Users/puruwo/dev/flutter/kakeibo_v3/pubspec_bk20250226.yaml", "YAML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 91
"/Users/puruwo/dev/flutter/kakeibo_v3/test/daily_expense_repository_test copy.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 5, 32
"/Users/puruwo/dev/flutter/kakeibo_v3/test/fake_datebase_helper/fake_database_helper.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 11, 11, 63
"/Users/puruwo/dev/flutter/kakeibo_v3/test/fake_fetch_previous_month_period.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 5, 26
"/Users/puruwo/dev/flutter/kakeibo_v3/test/month_period_fetch_test.dart", "Dart", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 28, 26, 196
"/Users/puruwo/dev/flutter/kakeibo_v3/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
